Date,id,Lesson,Grade,Тема
2022-01-14,da8205ae-27c1-446f-a02e-8d34d69ff5ca,True,10,МЕХАНІЧНІ КОЛИВАННЯ ТА ХВИЛІ. СТВ
2022-01-17,99f54b9a-c3b1-4b07-903e-022d7d3ca652,True,8,ЕЛЕКТРИЧНЕ ПОЛЕ
2022-01-21,ae4fb82a-83a4-4e79-bffb-ea6a284cbb52,True,10,МЕХАНІЧНІ КОЛИВАННЯ ТА ХВИЛІ. СТВ
2022-01-24,8b6c7b1a-9cbc-4be7-b20d-eca2613d8b74,True,8,ЕЛЕКТРИЧНЕ ПОЛЕ
2022-01-26,663d8878-f457-4145-a4d7-081efde0a612,True,10,МЕХАНІЧНІ КОЛИВАННЯ ТА ХВИЛІ. СТВ
2022-02-02,ed34eb9e-7a16-4d4a-84b9-80d40711309a,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-02-04,44683a5a-c99a-4e31-87a3-00a825c0f7e2,True,10,МОЛЕКУЛЯРНА ФІЗИКА. ВЛАСТИВОСТІ ГАЗІВ
2022-02-07,95a0384f-1b49-4aa8-955a-60f853d1db73,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-02-09,e53df002-5946-4b54-8e45-61003da19740,True,10,МОЛЕКУЛЯРНА ФІЗИКА. ВЛАСТИВОСТІ ГАЗІВ
2022-02-09,5f4a5244-452c-4353-b9b7-b9927fc6cd8a,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-02-11,e3baf182-030d-485c-be54-f0eb1462c86b,True,10,МОЛЕКУЛЯРНА ФІЗИКА. ВЛАСТИВОСТІ ГАЗІВ
2022-02-14,72338b95-e519-4e9f-b062-2bb3db732541,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-02-16,a9ddb4e5-737e-4d54-bc44-352aeb73c654,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-02-18,e29ca6f6-2458-4835-a38b-fe5605b6da08,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-03-16,1cdf5941-2d5e-42e8-afb9-ea9454232497,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-03-16,0d444b09-02b2-4a00-b9a0-7b0986da7612,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-03-23,eb4015cc-3339-4754-9abb-1b0e753751fd,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-03-23,e835b8b5-b4cb-4f7d-8470-addef93456bf,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-03-25,29666fdc-d069-4ac5-8f1e-60f96a7e2875,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-03-28,33be9acd-f663-4ada-a9cd-93431bc86f12,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-03-30,3e822f97-0fd9-44fa-88a5-7eb684a6b38c,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-03-30,c6cdff69-9b93-4f04-a920-465e55d1e280,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-01,ce851be4-4298-47dd-b5d7-10eb6779fe68,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-04-04,b71883a8-1227-44a2-b26a-b24acd47fd2b,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-06,bd29561f-6ccd-4611-b826-3c4bc769d605,True,10,ВЛАСТИВОСТІ РІДИН ТА ТВЕРДИХ ТІЛ
2022-04-06,eb6f9984-9bef-4ccb-a50e-82ebc498e7a5,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-08,470f08b3-fbc5-463c-9ab2-9b6563c6d6ff,True,10,ОСНОВИ ТЕРМОДИНАМІКИ
2022-04-13,74c6f5cd-3709-4ef0-a064-02236f296ffc,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-13,5b66fe2c-de1d-4a52-9f37-46fd978c7185,True,10,ОСНОВИ ТЕРМОДИНАМІКИ
2022-04-18,a337632f-31c8-44a9-a686-b98f3e3b7e25,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-20,e2ebf029-5104-4acf-a085-8d8470306a29,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  МЕТАЛАХ
2022-04-20,b6203958-ca95-49cd-925d-f14d6b8dc83a,True,10,ОСНОВИ ТЕРМОДИНАМІКИ
2022-04-22,ff057d8e-9740-49df-9619-60668466b6a8,True,10,ОСНОВИ ТЕРМОДИНАМІКИ
2022-04-25,2acc89e4-aa09-4866-9230-aead88815931,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
