Date,id,Lesson
2020-09-11,84f4d81f-7a7f-41ca-acb8-fc96f575f0f8,True
2020-09-18,39268fef-3bbf-4920-a313-5679e471be7e,True
2020-09-25,af7a38b2-069f-4296-b57c-9e5d48906c7b,True
2020-10-09,314ad6ae-c98d-4a82-b82b-57d3f04cf6df,True
2020-10-16,857c6573-4373-4f3a-9774-1a44e96e6a81,True
2020-10-23,1224d872-b7cc-489b-adf0-7e0525183ed3,True
2020-10-30,2594e12d-b70c-4244-b496-fa6755c6ae2a,True
2020-11-06,769444e3-f171-4a00-b6d7-91cb5526f893,True
2020-11-13,5f4d6482-c2e5-4dfb-87a8-1394f06b819f,True
2020-12-04,946f6ee8-030d-4839-b44e-a197126381cf,True
2021-01-22,58b330a8-a0e3-4a9c-9217-246b68cd38f2,True
2021-01-29,50f12cbe-5094-4b89-9bda-fa9f723c79d0,True
2021-02-05,078bf0f5-bc07-425c-b67d-761179a1e256,True
2021-02-12,365543d6-9c06-43e7-b508-d4899776d94e,True
2021-03-26,e3c7f04e-a2ab-42aa-98f1-b5ea997be1b6,False
2021-04-02,7ccf9177-c677-4673-a8a8-ca008c392a7f,True
2021-04-09,81d8b423-7613-443b-9d46-ffc94a455c3e,True
2021-04-16,55ecc77e-d7d9-4dcc-9537-91a7af0e69b0,True
2021-04-23,58cd42fa-5d37-4f0f-9a33-02a032392bc5,True
2021-05-07,7e476d6f-503f-4d05-8b8f-c3c19670a434,True
2021-05-21,6952cbe0-747f-49a4-a54d-72e4d66eb8d5,True
2021-09-08,aa16e2f7-cbb8-4f3e-b847-368592d2f615,True
2021-09-13,5a96527a-d8fb-4aaf-a44e-3a1018b9c298,True
2021-09-15,34e07d37-2df0-4024-b282-103e1b667bb8,True
2021-09-22,434c7e55-3794-4a48-8ea9-802a09e7a582,True
2021-09-27,0553f5be-65d4-4563-a892-f4f2d77f7b36,True
2021-09-29,f4d4ee50-2fe8-49a1-9e70-d0dab38cf5ab,True
2021-10-04,bc6ab085-399b-483a-9e34-1c9d91d8f663,True
2021-10-06,ce39473b-0140-4d45-b05d-1f6457580b4d,True
2021-10-18,dc281917-d4c9-46c2-8ee0-09d00bdffd25,True
2021-10-20,226aa011-7577-4973-af5f-10706f4ef93f,True
2021-11-01,2e0274c7-ba29-4e26-a70e-3ce6a656db5a,True
2021-11-03,2636f3ea-3b1d-4ce8-abc6-66736fe9dead,True
2021-11-08,986ba2b0-1cc2-427a-8ffc-b6235816fb79,True
2021-11-10,f45efd92-abeb-4a9c-872f-59937adae850,True
2021-11-15,8f36fc1c-c934-4126-83f3-e72ead9bd745,True
2021-11-17,20f73325-7a2a-424c-afe0-f4c9f9561a5a,True
2021-11-22,30ea74c6-706e-49a9-9225-ce6a96657309,True
2021-12-01,e24b132f-167b-4fb9-9a3e-90418ce4fba1,True
2021-12-06,88a395f7-c5ac-4f4f-a510-b046e9dffeda,True
2021-12-08,a7713bbc-ef9d-484f-80e5-f0bbc38a2e00,True
2021-12-15,bcf2594a-c7bd-45cf-8d4d-9a5edb22edb9,True
2022-01-10,8e69fef9-34db-415d-9a88-2b681b5b4189,True
2022-01-12,937a6018-7665-44d0-bc46-8636d8a2b5c4,True
2022-01-17,99f54b9a-c3b1-4b07-903e-022d7d3ca652,True
2022-01-24,8b6c7b1a-9cbc-4be7-b20d-eca2613d8b74,True
2022-01-26,baf37ccb-060e-472e-bf21-e4c9be740cd3,True
2022-02-02,ed34eb9e-7a16-4d4a-84b9-80d40711309a,True
2022-02-07,95a0384f-1b49-4aa8-955a-60f853d1db73,True
2022-02-09,5f4a5244-452c-4353-b9b7-b9927fc6cd8a,True
2022-02-14,72338b95-e519-4e9f-b062-2bb3db732541,True
2022-02-16,e92b9e37-46aa-45ab-babf-4462f9ebf3e5,True
2022-02-21,55db13bf-974f-4cc3-a472-dea0320ca2bb,True
2022-03-16,1cdf5941-2d5e-42e8-afb9-ea9454232497,True
2022-03-23,e835b8b5-b4cb-4f7d-8470-addef93456bf,True
2022-03-28,33be9acd-f663-4ada-a9cd-93431bc86f12,True
